[05042018]-[12:09:22 PM]: [127.0.0.1]: 1x  Bones (2428/4446).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:05 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:06 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:07 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:08 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:08 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:08 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:08 PM]: [127.0.0.1]: 1x  Shield left half (3095/3497).
[21062018]-[15:52:26 PM]: [127.0.0.1]: 1x  Shield left half (3096/3494).
[21062018]-[16:20:11 PM]: [127.0.0.1]: 1x  Key (3094/3491).
[21062018]-[16:20:22 PM]: [127.0.0.1]: 1x  Magic key (3086/3500).
[21062018]-[16:20:24 PM]: [127.0.0.1]: 1x  Magic key (3086/3500).
[21062018]-[16:20:25 PM]: [127.0.0.1]: 1x  Magic key (3086/3500).
[02072018]-[11:12:23 AM]: [127.0.0.1]: 3244x  Black dart (3091/3247).
[20082019]-[12:03:33 PM]: [127.0.0.1]: 1x  Big bones (3096/3495).
[20082019]-[12:03:33 PM]: [127.0.0.1]: 6x  Tarromin seed (3096/3495).
[20082019]-[13:09:54 PM]: [127.0.0.1]: 1x  Bones (3102/3506).
[20082019]-[13:09:54 PM]: [127.0.0.1]: 5000x  Coins (3102/3506).
[20082019]-[13:10:04 PM]: [127.0.0.1]: 1x  Bones (3103/3513).
[20082019]-[13:10:04 PM]: [127.0.0.1]: 7500x  Coins (3103/3513).
[20082019]-[15:48:55 PM]: [127.0.0.1]: 1x  Bones (2408/4376).
[20082019]-[15:48:55 PM]: [127.0.0.1]: 25x  Tuna potato (2408/4376).
[20082019]-[15:50:49 PM]: [127.0.0.1]: 1x  Bones (3263/3928).
[20082019]-[15:50:49 PM]: [127.0.0.1]: 50x  Uncut dragonstone (3263/3928).
[20082019]-[20:20:27 PM]: [127.0.0.1]: 1x  Armadyl totem (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 1x  Shortbow (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 100x  Super restore(4) (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 100x  Saradomin brew(4) (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 100x  Super defence(4) (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 99x  Super attack(4) (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 100x  Super strength(4) (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 100x  Ranging potion(4) (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 100000x  Blood rune (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 100000x  Death rune (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 100000x  Water rune (3093/3520).
[20082019]-[20:20:32 PM]: [127.0.0.1]: 249x  Shark (3093/3520).
[20082019]-[21:31:17 PM]: [127.0.0.1]: 1x  Dragon claws (3100/3522).
[20082019]-[21:41:17 PM]: [127.0.0.1]: 1x  Super attack(4) (3093/3525).
